workcenter,period,capacity
FACTORY-1,2025-01,500
FACTORY-1,2025-02,500
FACTORY-1,2025-03,500
FACTORY-1,2025-04,500
FACTORY-1,2025-05,500
FACTORY-1,2025-06,500
FACTORY-2,2025-01,800
FACTORY-2,2025-02,800
FACTORY-2,2025-03,800
FACTORY-2,2025-04,800
FACTORY-2,2025-05,800
FACTORY-2,2025-06,800
FACTORY-3,2025-01,600
FACTORY-3,2025-02,600
FACTORY-3,2025-03,600
FACTORY-3,2025-04,600
FACTORY-3,2025-05,600
FACTORY-3,2025-06,600
FACTORY-4,2025-01,700
FACTORY-4,2025-02,700
FACTORY-4,2025-03,700
FACTORY-4,2025-04,700
FACTORY-4,2025-05,700
FACTORY-4,2025-06,700
